,label,study_and_condition
30,__label__0,refract smal lymphocys lymphom diagnos fem childbear pot fcbp must neg ser urin pregn test sensit least twentyf miu ml within ten fourteen day within twentyfo hour pri start cyc on lenalidomid must eith commit continu abstin heterosex intercours begin two acceiv method bir control refractory small lymphocytic lymphoma diagnosis females childbearing potential fcbp must negative serum urine pregnancy test sensitivity least twentyfive miu ml within ten fourteen days within twentyfour hours prior start cycle one lenalidomide must either commit continue abstinence heterosexual intercourse begin two acceptable methods birth control
31,__label__1,multipl myelom diagnos ser clin chem multiple myeloma diagnosis serum clinical chemistry
32,__label__0,howev on symptom bon metastas ident on chos index les report purpos however one symptomatic bone metastasis identify one choose index lesion report purpose
33,__label__1,ov endometrioid adenocarcinom diagnos paty eczem psorias lichen_simplex chronicus vitiligo dermatolog manifest paty psory arthrit would exclud permit provid meet follow condit ovarian endometrioid adenocarcinoma diagnosis patients eczema psoriasis lichen_simplex chronicus vitiligo dermatologic manifestations patients psoriatic arthritis would exclude permit provide meet follow condition
34,__label__0,prim periton carcinom diagnos pri stroke primary peritoneal carcinoma diagnosis prior stroke
35,__label__0,cepseventeen ratio greater_than two biopsy prov breast cant cepseventeen ratio greater_than two biopsy prove breast cancer
36,__label__0,brain cent nerv system tum diagnos diseas charact brain central nervous system tumors diagnosis disease characteristics
37,__label__1,paty act non hematolog malign exceiv non melanom skin cant exclud apply paty non hematolog malign requir therapy patients active non hematologic malignancies except non melanoma skin cancers exclusion apply patients non hematologic malignancies require therapy
38,__label__1,stag iv uterin sarcom diagnos tot ser bilirubin greater_than doc mg dl stage iva uterine sarcoma diagnosis total serum bilirubin greater_than doc mg dl
39,__label__0,stag ii enteropathy assocy cel lymphom diagnos develop erythema_nodosum charact desquamating_rash tak thalidomid lenalidomid simil drug stage ii enteropathy associate cell lymphoma diagnosis development erythema_nodosum characterize desquamating_rash take thalidomide lenalidomide similar drug
40,__label__0,stag iv esoph cant diagnos loc adv metast diseas inop am cur therapy linitis_plastica permit stage iv esophageal cancer diagnosis locally advance metastatic disease inoperable amenable curative therapy linitis_plastica permit
41,__label__1,noncontigu stag ii smal lymphocys lymphom diagnos don noncontiguous stage ii small lymphocytic lymphoma diagnosis donor
42,__label__1,recur ren cel cant diagnos subject rec dvt tre therapeut ant coag ag least six week elig recurrent renal cell cancer diagnosis subject recent dvt treat therapeutic anti coagulate agents least six weeks eligible
43,__label__0,testicul germ cel tum diagnos system immunosuppress tap stop tre leukem relaps minim resid diseas testicular germ cell tumor diagnosis systemic immunosuppression taper stop treatment leukemic relapse minimal residual disease
44,__label__0,stag iv grad on follicul lymphom diagnos abl tak aspirin 8one three hundr twentyf mg dai prophylact anticoag paty intol as may us warfarin low molecul weight heparin stage iv grade one follicular lymphoma diagnosis able take aspirin 8one three hundred twentyfive mg daily prophylactic anticoagulation patients intolerant asa may use warfarin low molecular weight heparin
45,__label__1,adult burkit lymphom diagnos paty known allergy study med analog excipy vary form ag elig adult burkitt lymphoma diagnosis patients know allergy study medications analogues excipients various formulations agent eligible
46,__label__0,recur child ependymom diagnos creatinin clear radioisotop glomerul filt rat greater_than seventy ml min recurrent childhood ependymoma diagnosis creatinine clearance radioisotope glomerular filtration rate greater_than seventy ml min
47,__label__1,fallop tub transit cel carcinom diagnos follow fallopian tube transitional cell carcinoma diagnosis follow
48,__label__0,recur breast carcinom diagnos paty follow pri concur diagnos elig recurrent breast carcinoma diagnosis patient follow prior concurrent diagnose eligible
49,__label__1,recur adult hodgkin lymphom diagnos qtc prolong greater_than fiv hundredmsec sign ecg abnorm not within fourteen day reg recurrent adult hodgkin lymphoma diagnosis qtc prolongation greater_than five hundredmsec significant ecg abnormality note within fourteen days registration
50,__label__1,concur ant drug bevacizumab drug target vegf vegf receiv concurrent anticancer drug bevacizumab drug target vegf vegf receptors
51,__label__0,stag iv verruc carcinom or cav diagnos ongo act infect stage iv verrucous carcinoma oral cavity diagnosis ongoing active infection
52,__label__0,stag ii fallop tub cant diagnos six month sint pri epoetin_alfa darbepoetin investig form erythropoietin stage iiic fallopian tube cancer diagnosis six months since prior epoetin_alfa darbepoetin investigational form erythropoietin
53,__label__1,recur uterin corp sarcom diagnos unresolv tox pri system therapy common terminolog criter advers ev ctcae vert doc greater_than equal_than grad two sev exceiv alopec recurrent uterine corpus sarcoma diagnosis unresolved toxicities prior systemic therapy common terminology criteria adverse events ctcae version doc greater_than equal_than grade two severity except alopecia
54,__label__0,neoplasm diagnos lif expect least three month neoplasms diagnosis life expectancy least three months
55,__label__0,refract malign neoplasm diagnos fiv minut break ecg refractory malignant neoplasm diagnosis five minutes break ecgs
56,__label__0,stag ii colon cant diagnos paty prothrombin tim pt intern norm ratio inr greater_than doc elig unless paty ful dos anticoag follow criter must met enrol stage iia colon cancer diagnosis patients prothrombin time pt international normalize ratio inr greater_than doc eligible unless patient full dose anticoagulants follow criteria must meet enrollment
57,__label__0,ii ii symptom bon les radiolog iii ii symptomatic bone lesion radiological
58,__label__0,stag ib breast cant diagnos hist ven thrombosis last twelv week stage ib breast cancer diagnosis history venous thrombosis last twelve weeks
59,__label__0,cut cel non hodgkin lymphom diagnos develop erythema_nodosum charact desquamating_rash tak thalidomid simil drug cutaneous cell non hodgkin lymphoma diagnosis development erythema_nodosum characterize desquamating_rash take thalidomide similar drug
60,__label__1,non metast pancrea cant diagnos periph sens neuropathy greater_than grad two baselin non metastatic pancreas cancer diagnosis peripheral sensory neuropathy greater_than grade two baseline
61,__label__1,stomach neoplasm diagnos particip gastrointestin obstruct blee induc mal absorb or chemotherapeut ag stomach neoplasm diagnosis participants gastrointestinal obstruction bleed induce mal absorption oral chemotherapeutic agents
62,__label__1,kra wild typ colorect cant diagnos maj surg proc op biopsy sign traum injury within four week pri random kras wild type colorectal cancer diagnosis major surgical procedure open biopsy significant traumatic injury within four weeks prior randomization
63,__label__1,multipl myelom diagnos plasm cel leukem gre two zero cel mcl circ plasm cel standard diff multiple myeloma diagnosis plasma cell leukemia greater two zero cells mcl circulate plasma cells standard differential
64,__label__1,stag iv prost adenocarcinom diagnos hist stroke transy ischem attack within six month random stage iv prostate adenocarcinoma diagnosis history stroke transient ischemic attack within six months randomization
65,__label__0,adult prim hepatocellul carcinom diagnos individ eczem op skin condit adult primary hepatocellular carcinoma diagnosis individuals eczema open skin condition
66,__label__1,pancr cant diagnos mal paty must agr us barry contraceiv pancreatic cancer diagnosis male patients must agree use barrier contraception
67,__label__1,stag iv melanom diagnos rady therapy equal_than less_than four week pri reg stage iv melanoma diagnosis radiation therapy equal_than less_than four weeks prior registration
68,__label__1,bily tract cant diagnos sery und med condit could impair abl paty particip study biliary tract cancer diagnosis serious underlie medical condition could impair ability patient participate study
69,__label__1,stag iv non smal cel lung cant diagnos concur chemotherapy immunotherapy radiotherapy ancil therapy consid investig util non food drug admin fda approv ind context research investig stage iv non small cell lung cancer diagnosis concurrent chemotherapy immunotherapy radiotherapy ancillary therapy consider investigational utilize non food drug administration fda approve indication context research investigation
70,__label__0,recur mantl cel lymphom diagnos uncontrol act infect recurrent mantle cell lymphoma diagnosis uncontrolled active infection
71,__label__0,stag ii breast cant diagnos paty must complet definit breast surgery includ tot mastectom axil dissect mod rad mastectom tot mastectom sentinel nod biopsy lumpectom axil dissect lumpectom sentinel nod biopsy not stage iiia breast cancer diagnosis patients must complete definitive breast surgery include total mastectomy axillary dissection modify radical mastectomy total mastectomy sentinel node biopsy lumpectomy axillary dissection lumpectomy sentinel node biopsy note
72,__label__0,colorect cant diagnos colostom ileostom allow investig discret colorectal cancer diagnosis colostomy ileostomy allow investigator discretion
73,__label__1,anaplast ependymom diagnos new york heart assocy nyh grad ii gre congest heart fail anaplastic ependymoma diagnosis new york heart association nyha grade ii greater congestive heart failure
74,__label__1,stag ii child lymphoblast lymphom diagnos prednison methylprednisolon equal_than less_than on hundr twenty hour fiv day sev day pri in induc chemotherapy equal_than less_than three hundr thirtysix hour fourteen day twentyeight day pri in induc chemotherapy pri expos steroid occur greater_than twentyeight day in protocol therapy affect elig dos prednison methylprednisolon affect elig stage ii childhood lymphoblastic lymphoma diagnosis prednisone methylprednisolone equal_than less_than one hundred twenty hours five days seven days prior initiate induction chemotherapy equal_than less_than three hundred thirtysix hours fourteen days twentyeight days prior initiate induction chemotherapy prior exposure steroids occur greater_than twentyeight days initiation protocol therapy affect eligibility dose prednisone methylprednisolone affect eligibility
75,__label__0,lymphoblast lymphom complet remit diagnos paty persist minim resid diseas complet remit incomplet platelet recovery elig lymphoblastic lymphoma complete remission diagnosis patients persistent minimal residual disease complete remission incomplete platelet recovery eligible
76,__label__1,recur colon cant diagnos hiv posit paty ant retrovir therapy cdfour cel less two hundr exclud hiv posit paty elig haart high act ant retrovir therapy cypthreeafo subst induc inhibit meet criter recurrent colon cancer diagnosis hiv positive patients anti retroviral therapy cdfour cells less two hundred exclude hiv positive patients eligible haart highly active anti retroviral therapy cypthreeafour substrates inducers inhibitors meet criteria
77,__label__0,pancr cant diagnos known dihydropyrimidine_dehydrogenas dpd deficy pancreatic cancer diagnosis know dihydropyrimidine_dehydrogenase dpd deficiency
78,__label__1,prim diagnos pulmon smal cel carcinom pulmon larg cel carcinom merkel cel carcinom primary diagnosis pulmonary small cell carcinoma pulmonary large cell carcinoma merkel cell carcinoma
79,__label__0,lymphom diagnos biolog therapy lymphoma diagnosis biologic therapy
80,__label__0,prost cant diagnos psorias prostate cancer diagnosis psoriasis
81,__label__1,head neck neoplasm diagnos pres clin sign phys exam third spac fluid collect exampl ascit ple effus control drain proc pri study entry head neck neoplasms diagnosis presence clinically significant physical exam third space fluid collections example ascites pleural effusions control drainage procedures prior study entry
82,__label__1,cant diagnos known immedy delay hypersensit react idiosyncrasy drug chem rel pazopanib erlotinib pemetrex cancer diagnosis know immediate delay hypersensitivity reaction idiosyncrasy drug chemically relate pazopanib erlotinib pemetrexed
83,__label__0,pancr cant diagnos hemoglobin greater_than doc dl pancreatic cancer diagnosis hemoglobin greater_than doc dl
84,__label__0,recur mantl cel lymphom diagnos may tre first cr recurrent mantle cell lymphoma diagnosis may treat first cr
85,__label__0,unspec adult solid tum protocol spec diagnos post rady bowel symptom grad follow radiotherapy within abdom pelv unspecified adult solid tumor protocol specific diagnosis post radiation bowel symptoms grade follow radiotherapy within abdomen pelvis
86,__label__1,stag ii adult lymphoblast lymphom diagnos known hypersensit rituximab stage iii adult lymphoblastic lymphoma diagnosis know hypersensitivity rituximab
87,__label__0,recur child hodgkin lymphom diagnos fish transloc fourteen recurrent childhood hodgkin lymphoma diagnosis fish translocation fourteen
88,__label__0,stag ii esoph cant diagnos pri step on reg within fiftysix day pri step two reg stage iiia esophageal cancer diagnosis prior step one registration within fiftysix days prior step two registration
89,__label__0,colorect cant diagnos clin sign periph vascul diseas phas ii colorectal cancer diagnosis clinically significant peripheral vascular disease phase ii
90,__label__0,stag iv extragonad seminom diagnos progress diseas pri cisplatin bas therapy meet on follow criter stage iv extragonadal seminoma diagnosis progressive disease prior cisplatin base therapy meet one follow criteria
91,__label__1,hepatocellul carcinom diagnos wom pregn lact hepatocellular carcinoma diagnosis women pregnancy lactation
92,__label__0,stag grad two follicul lymphom diagnos ser creatinin less_than doc mg dl stage grade two follicular lymphoma diagnosis serum creatinine less_than doc mg dl
93,__label__1,carcinom bas cel diagnos col vascul diseas lup scleroderma rheumatoid arthrit carcinoma basal cell diagnosis collagen vascular disease lupus scleroderma rheumatoid arthritis
94,__label__0,colorect cant diagnos platelet greater_than on hundr on hundr nin l colorectal cancer diagnosis platelets greater_than one hundred one hundred nine l
95,__label__0,diffus adenocarcinom stomach diagnos paty must known immedy delay hypersensit react drug chem rel fluorouracil platin excipy known hist dihydropyrimidine_dehydrogenas dpd deficy diffuse adenocarcinoma stomach diagnosis patients must know immediate delay hypersensitivity reaction drug chemically relate fluorouracil platins excipients know history dihydropyrimidine_dehydrogenase dpd deficiency
96,__label__1,stag multipl myelom diagnos cum dos doxorubicin four hundr mg two gre level would excess cur study stage multiple myeloma diagnosis cumulative dose doxorubicin four hundred mg two greater level would exceed current study
97,__label__1,breast cant diagnos sery cardiac il med condit includ confin breast cancer diagnosis serious cardiac illness medical condition include confine
98,__label__0,stag iv vagin cant diagnos meas diseas accord rec criter stage iva vaginal cancer diagnosis measurable disease accord recist criteria
99,__label__0,squam cel lung cant diagnos stag iiib malign ple effus stag iv diseas squamous cell lung cancer diagnosis stage iiib malignant pleural effusion stage iv disease
100,__label__1,pri tamox part breast cant prev study prior tamoxifen part breast cancer prevention study
101,__label__1,paty chronic lymphocys leukem cll smal lymphocys lymphom wel differenty lymphocys lymphom patients chronic lymphocytic leukemia cll small lymphocytic lymphoma well differentiate lymphocytic lymphoma
102,__label__0,non smal cel lung cant diagnos particip must complet prim thorac chemoradiotherapy least four week lat twelv week pri random non small cell lung cancer diagnosis participant must complete primary thoracic chemoradiotherapy least four weeks later twelve weeks prior randomization
103,__label__0,lung cant diagnos chemotherapy lung cancer diagnosis chemotherapy
104,__label__1,recur carcinom head neck reg recurrent carcinoma head neck region
105,__label__0,recur ov cant diagnos stabl cardiopulmon standpoint continu prolong surgery anesthes recurrent ovarian cancer diagnosis stable cardiopulmonary standpoint continue prolong surgery anesthesia
106,__label__0,colorect cant diagnos pri concur therapy colorectal cancer diagnosis prior concurrent therapy
107,__label__1,smal intestin lymphom diagnos anticoag warfarin equ vitamin antagon within twentyeight day pri start ibrutinib throughout study small intestinal lymphoma diagnosis anticoagulation warfarin equivalent vitamin antagonists within twentyeight days prior start ibrutinib throughout study
108,__label__1,lung cant diagnos subject elig surg resect nee rady therapy elig study lung cancer diagnosis subject eligible surgical resection need radiation therapy eligible study
109,__label__1,metast head neck cant diagnos paty receiv investig drug within fourteen day pri start cabazitaxel metastatic head neck cancer diagnosis patients receive investigational drug within fourteen days prior start cabazitaxel
110,__label__0,recur adult lymphoblast lymphom diagnos platelet greater_than equal_than on hundr zero ul recurrent adult lymphoblastic lymphoma diagnosis platelets greater_than equal_than one hundred zero ul
111,__label__1,ov cant diagnos ongo sery infect ovarian cancer diagnosis ongoing serious infection
112,__label__1,unspec adult solid tum protocol spec diagnos uncontrol diabet defin fast ser glucos greater_than doc uln unspecified adult solid tumor protocol specific diagnosis uncontrolled diabetes define fast serum glucose greater_than doc uln
113,__label__0,recur adult diffus larg cel lymphom diagnos fem study particip reproduc pot must neg ser urin pregn test perform within fortyeight hour infus recurrent adult diffuse large cell lymphoma diagnosis female study participants reproductive potential must negative serum urine pregnancy test perform within fortyeight hours infusion
114,__label__1,multipl myelom diagnos sev hypercalcem ser calc equal_than twelv mg dl doc mmol correct albumin multiple myeloma diagnosis severe hypercalcemia serum calcium equal_than twelve mg dl doc mmol correct albumin
115,__label__0,gast cant diagnos form independ cel consid linit gastric cancer diagnosis form independent cells consider linitis
116,__label__1,non smal cel lung cant diagnos particip particip study investig compound dev within thirty day fiv half liv start tre non small cell lung cancer diagnosis participate participate study investigational compound device within thirty days five half live start treatment
117,__label__1,multipl myelom diagnos cult pcr blood cmv must neg enrol multiple myeloma diagnosis culture pcr blood cmv must negative enrollment
118,__label__1,relaps refract multipl myelom diagnos class two defin cardiac diseas paty comfort rest ordin phys act result fatigu palpit dyspne angin pain relapse refractory multiple myeloma diagnosis class two define cardiac disease patients comfortable rest ordinary physical activity result fatigue palpitations dyspnea anginal pain
119,__label__0,mesoltheliom diagnos seroneg hiv antibody mesolthelioma diagnosis seronegative hiv antibody
120,__label__1,prim cent nerv system cns lymphom second cns involv lymphom mantl cel lymphom mcl histolog evid transform burkit lymphom prim mediastin dlbcl prim effus lymphom plasmablast lymphom prim cut dlbcl primary central nervous system cns lymphoma secondary cns involvement lymphoma mantle cell lymphoma mcl histologic evidence transformation burkitt lymphoma primary mediastinal dlbcl primary effusion lymphoma plasmablastic lymphoma primary cutaneous dlbcl
121,__label__1,paty prost cant diagnos contraind conscious_sedation loc anesthes spin epid anesthes patients prostate cancer diagnosis contraindications conscious_sedation local anesthesia spinal epidural anesthesia
122,__label__0,kapos sarcom diagnos histolog prov kaposi sarcoma diagnosis histologically prove
123,__label__1,stag ii adult diffus mix cel lymphom diagnos pregn stage iii adult diffuse mix cell lymphoma diagnosis pregnancy
124,__label__1,ampull vat cant diagnos prevy chemotherapy radiotherapy ampulla vater cancer diagnosis previous chemotherapy radiotherapy
125,__label__1,recur adult cel leukem lymphom diagnos ser glutam oxaloacet transaminas sgot ser glutam pyruv transaminas sgpt greater_than equal_than three up limit norm recurrent adult cell leukemia lymphoma diagnosis serum glutamic oxaloacetic transaminase sgot serum glutamic pyruvate transaminase sgpt greater_than equal_than three upper limit normal
126,__label__1,adv gast cant diagnos sery diseas advance gastric cancer diagnosis serious diseases
127,__label__1,paty past cur hist within last two year malign exceiv ind study cur tre bas squam skin cant situ cant cervix patients past current history within last two years malignancies except indication study curatively treat basal squamous skin cancer situ cancer cervix
128,__label__0,histolog confirm cant histologically confirm cancer
129,__label__1,colon cant high risk stag ii ptfournone pton four ntwo diagnos ed geograph sociolog psycholog leg condit would permit paty complet study sign inform cons colon cancer high risk stage iii ptfournone ptone four ntwo diagnosis edical geographical sociological psychological legal condition would permit patient complete study sign inform consent
130,__label__0,solid tum diagnos particip men wom childbear pot must agr us adequ contraceiv begin sign icf least thirty day last dos study drug solid tumor diagnosis participants men women childbearing potential must agree use adequate contraception begin sign icf least thirty days last dose study drug
131,__label__0,wom becom pregn suspect pregn partn particip study inform tre phys immedy woman become pregnant suspect pregnant partner participate study inform treat physician immediately
132,__label__1,resect pancr cant diagnos hist uncontrol seiz cent nerv system disord psychy dis judg investig clin sign preclud inform cons interf comply or drug intak resectable pancreatic cancer diagnosis history uncontrolled seizures central nervous system disorder psychiatric disability judge investigator clinically significant preclude inform consent interfere compliance oral drug intake
133,__label__1,recur adult diffus larg cel lymphom diagnos un perform self car rady isol recurrent adult diffuse large cell lymphoma diagnosis unable perform self care radiation isolation
134,__label__0,multipl myelom plasm cel neoplasm diagnos concur immunotherapy multiple myeloma plasma cell neoplasm diagnosis concurrent immunotherapy
135,__label__1,adult nas typ extranod nk cel lymphom diagnos don adult nasal type extranodal nk cell lymphoma diagnosis donor
136,__label__1,smal lymphocys lymphom diagnos requir anticoag warfarin small lymphocytic lymphoma diagnosis require anticoagulation warfarin
137,__label__1,squam cel carcinom head neck diagnos prevy tre monoclon antibody therapy signal_transduction inhibit epiderm grow fact receiv egfr target therapy squamous cell carcinoma head neck diagnosis previous treatment monoclonal antibody therapy signal_transduction inhibitors epidermal growth factor receptor egfr target therapy
138,__label__1,recur grad three follicul lymphom diagnos act bact vir fung infect recurrent grade three follicular lymphoma diagnosis active bacterial viral fungal infection
139,__label__1,class kapos sarcom diagnos eastern coop oncolog group ecog perform stat greater_than on classic kaposi sarcoma diagnosis eastern cooperative oncology group ecog performance status greater_than one
140,__label__0,stag iv squam cel carcinom nasopharynx diagnos predict lif expect greater_than twelv week stage iv squamous cell carcinoma nasopharynx diagnosis predict life expectancy greater_than twelve weeks
141,__label__0,breast neoplasm diagnos paty must meas evalu diseas breast neoplasms diagnosis patients must measurable evaluable disease
142,__label__1,non smal cel lung cant nsclc stag iv diagnos paty receiv last admin chemotherapy immunotherapy dai schedule equal_than less_than sev day pri start study drug non small cell lung cancer nsclc stage iv diagnosis patients receive last administration chemotherapy immunotherapy daily schedule equal_than less_than seven days prior start study drug
143,__label__0,stag iv squam cel carcinom paranas sin nas cav diagnos interferon bas therapy stage iv squamous cell carcinoma paranasal sinus nasal cavity diagnosis interferon base therapy
144,__label__0,refract hodgkin lymphom diagnos autolog stem cel infus includ boost infus refractory hodgkin lymphoma diagnosis autologous stem cell infusion include boost infusion
145,__label__0,ds stag plasm cel myelom diagnos eject fract greater_than equal_than fortyf ds stage plasma cell myeloma diagnosis ejection fraction greater_than equal_than fortyfive
146,__label__0,refract lymphoblast lymphom diagnos aspart aminotransferas ast ser glutam oxaloacet transaminas sgot alanin aminotransferas alt ser glutam pyruv transaminas sgpt equal_than less_than doc institut uln refractory lymphoblastic lymphoma diagnosis aspartate aminotransferase ast serum glutamic oxaloacetic transaminase sgot alanine aminotransferase alt serum glutamate pyruvate transaminase sgpt equal_than less_than doc institutional uln
147,__label__0,paty must histolog cytolog prov new diagnos select stag iiib tfo les due malign ple effus stag iv adv prim non smal cel lung cant adenocarcinom larg cel carcinom unspec recur diseas prevy surgery irrady paty tum squam cel compon greater_than fifty elig patients must histologically cytologically prove newly diagnose select stage iiib tfour lesion due malignant pleural effusion stage iv advance primary non small cell lung cancer adenocarcinoma large cell carcinoma unspecified recurrent disease previous surgery irradiation patients tumors squamous cell components greater_than fifty eligible
148,__label__1,cerv squam cel carcinom otherw spec diagnos men wom childbear pot unwil employ adequ contraceiv cervical squamous cell carcinoma otherwise specify diagnosis men women childbearing potential unwilling employ adequate contraception
149,__label__1,uterin cerv cant diagnos pregn breastfee paty uterine cervical cancer diagnosis pregnant breastfeed patient
150,__label__0,stag ii breast cant diagnos hertwo must posit ihc ish test lab standard stage ii breast cancer diagnosis hertwo must positive ihc ish test laboratory standard
151,__label__0,stag iv non smal cel lung cant diagnos four week sint pri radiotherapy stage iv non small cell lung cancer diagnosis four weeks since prior radiotherapy
152,__label__1,stag ib malign mesotheliom diagnos pregn wom stage ib malignant mesothelioma diagnosis pregnant women
153,__label__0,stag ii cut cel non hodgkin lymphom diagnos plan hct minim cel deplet graft stage ii cutaneous cell non hodgkin lymphoma diagnosis plan hct minimal cell depletion graft
154,__label__1,stag ii prim periton cant diagnos nurs wom unwil stop breast fee stage iiia primary peritoneal cancer diagnosis nurse women unwilling stop breast feed
155,__label__0,solid tum meas phys examin radiograph im study solid tumors measure physical examination radiographic image study
156,__label__1,recur grad two follicul lymphom diagnos elig therapeut opt lik bet long term diseas fre surv low pot tox non transpl therapy autolog transpl etc recurrent grade two follicular lymphoma diagnosis eligible therapeutic options likely better long term disease free survival lower potential toxicity non transplant therapy autologous transplant etc
157,__label__0,myelom diagnos absolv neutrophil count greater_than on thousand ml myeloma diagnosis absolute neutrophil count greater_than one thousand ml
